date,open,high,low,close,adj close,volume,dividends,stock splits
2020-12-15 00:00:00-05:00,20.399999618530273,20.399999618530273,19.479999542236328,20.1299991607666,18.601728439331055,2300,0.0,0.0
2020-12-16 00:00:00-05:00,20.110000610351562,20.1200008392334,19.5,19.5,18.019559860229492,1200,0.0,0.0
2020-12-17 00:00:00-05:00,19.5,19.5,19.5,19.5,18.019559860229492,0,0.0,0.0
2020-12-18 00:00:00-05:00,19.59000015258789,19.59000015258789,17.200000762939453,17.200000762939453,15.89417552947998,1800,0.0,0.0
2020-12-21 00:00:00-05:00,17.520000457763672,18.40999984741211,17.5,17.770000457763672,16.4209041595459,3200,0.0,0.0
2020-12-22 00:00:00-05:00,18.889999389648438,18.899999618530273,18.889999389648438,18.899999618530273,17.465112686157227,700,0.0,0.0
2020-12-23 00:00:00-05:00,18.899999618530273,18.899999618530273,18.899999618530273,18.899999618530273,17.465112686157227,0,0.0,0.0
2020-12-24 00:00:00-05:00,19.850000381469727,19.850000381469727,19.850000381469727,19.850000381469727,18.342988967895508,600,0.0,0.0
2020-12-28 00:00:00-05:00,19.850000381469727,19.850000381469727,19.850000381469727,19.850000381469727,18.342988967895508,0,0.0,0.0
2020-12-29 00:00:00-05:00,19.850000381469727,19.850000381469727,19.850000381469727,19.850000381469727,18.342988967895508,0,0.0,0.0
2020-12-30 00:00:00-05:00,19.850000381469727,19.850000381469727,19.850000381469727,19.850000381469727,18.342988967895508,0,0.0,0.0
2020-12-31 00:00:00-05:00,19.25,19.850000381469727,19.25,19.760000228881836,18.25982093811035,2000,0.0,0.0
2021-01-04 00:00:00-05:00,19.760000228881836,19.760000228881836,19.760000228881836,19.760000228881836,18.25982093811035,0,0.0,0.0
2021-01-05 00:00:00-05:00,19.6299991607666,20.0,18.600000381469727,18.600000381469727,17.18788719177246,4700,0.0,0.0
2021-01-06 00:00:00-05:00,17.6299991607666,19.25,17.6299991607666,19.010000228881836,17.566762924194336,1500,0.0,0.0
2021-01-07 00:00:00-05:00,19.719999313354492,19.75,19.690000534057617,19.690000534057617,18.19513511657715,1300,0.0,0.0
2021-01-08 00:00:00-05:00,19.690000534057617,19.690000534057617,19.690000534057617,19.690000534057617,18.19513511657715,0,0.0,0.0
2021-01-11 00:00:00-05:00,19.649999618530273,19.649999618530273,19.649999618530273,19.649999618530273,18.15816879272461,600,0.0,0.0
2021-01-12 00:00:00-05:00,19.649999618530273,19.649999618530273,19.649999618530273,19.649999618530273,18.15816879272461,0,0.0,0.0
2021-01-13 00:00:00-05:00,20.799999237060547,21.0,20.229999542236328,20.799999237060547,19.220863342285156,3300,0.0,0.0
2021-01-14 00:00:00-05:00,20.799999237060547,20.799999237060547,20.799999237060547,20.799999237060547,19.220863342285156,0,0.0,0.0
2021-01-15 00:00:00-05:00,21.0,21.290000915527344,20.799999237060547,21.290000915527344,19.673664093017578,900,0.0,0.0
2021-01-19 00:00:00-05:00,22.0,22.31999969482422,22.0,22.1299991607666,20.449888229370117,2500,0.0,0.0
2021-01-20 00:00:00-05:00,22.1200008392334,24.969999313354492,22.1200008392334,23.510000228881836,21.725120544433594,10200,0.0,0.0
2021-01-21 00:00:00-05:00,22.3799991607666,22.3799991607666,22.3799991607666,22.3799991607666,20.680908203125,300,0.0,0.0
2021-01-22 00:00:00-05:00,22.5,22.5,21.649999618530273,21.649999618530273,20.006332397460938,400,0.0,0.0
2021-01-25 00:00:00-05:00,21.649999618530273,21.649999618530273,21.649999618530273,21.649999618530273,20.006332397460938,0,0.0,0.0
2021-01-26 00:00:00-05:00,21.530000686645508,22.350000381469727,21.329999923706055,22.350000381469727,20.653188705444336,1300,0.0,0.0
2021-01-27 00:00:00-05:00,20.219999313354492,22.420000076293945,20.219999313354492,22.420000076293945,20.717872619628906,2000,0.0,0.0
2021-01-28 00:00:00-05:00,22.760000228881836,22.860000610351562,22.65999984741211,22.700000762939453,20.97661590576172,4100,0.0,0.0
2021-01-29 00:00:00-05:00,24.0,24.5,23.3700008392334,23.3700008392334,21.59575080871582,3700,0.0,0.0
2021-02-01 00:00:00-05:00,24.5,24.5,24.5,24.5,22.63996124267578,400,0.0,0.0
2021-02-02 00:00:00-05:00,24.25,24.25,22.649999618530273,22.649999618530273,20.93041229248047,800,0.0,0.0
2021-02-03 00:00:00-05:00,23.280000686645508,24.25,23.280000686645508,24.25,22.408939361572266,500,0.0,0.0
2021-02-04 00:00:00-05:00,24.6299991607666,24.6299991607666,24.350000381469727,24.350000381469727,22.50135040283203,800,0.0,0.0
2021-02-05 00:00:00-05:00,24.350000381469727,24.350000381469727,24.350000381469727,24.350000381469727,22.50135040283203,0,0.0,0.0
2021-02-08 00:00:00-05:00,24.350000381469727,24.350000381469727,24.350000381469727,24.350000381469727,22.50135040283203,0,0.0,0.0
2021-02-09 00:00:00-05:00,24.360000610351562,26.479999542236328,24.360000610351562,26.479999542236328,24.469636917114258,3600,0.0,0.0
2021-02-10 00:00:00-05:00,25.079999923706055,26.09000015258789,25.079999923706055,26.09000015258789,24.1092472076416,1300,0.0,0.0
2021-02-11 00:00:00-05:00,26.09000015258789,26.09000015258789,26.09000015258789,26.09000015258789,24.1092472076416,0,0.0,0.0
2021-02-12 00:00:00-05:00,25.100000381469727,26.639999389648438,22.600000381469727,26.280000686645508,24.284822463989258,2800,0.0,0.0
2021-02-16 00:00:00-05:00,23.600000381469727,26.5,23.600000381469727,26.5,24.488121032714844,1500,0.0,0.0
2021-02-17 00:00:00-05:00,25.350000381469727,25.350000381469727,24.399999618530273,25.260000228881836,23.342262268066406,1100,0.0,0.0
2021-02-18 00:00:00-05:00,24.0,24.700000762939453,24.0,24.700000762939453,22.824777603149414,1700,0.0,0.0
2021-02-19 00:00:00-05:00,24.8700008392334,24.8700008392334,24.8700008392334,24.8700008392334,22.981870651245117,200,0.0,0.0
2021-02-22 00:00:00-05:00,24.8700008392334,24.8700008392334,24.8700008392334,24.8700008392334,22.981870651245117,0,0.0,0.0
2021-02-23 00:00:00-05:00,23.850000381469727,25.280000686645508,23.81999969482422,24.5,22.63996124267578,7700,0.0,0.0
2021-02-24 00:00:00-05:00,24.5,24.5,24.5,24.5,22.63996124267578,0,0.0,0.0
2021-02-25 00:00:00-05:00,24.5,24.5,24.5,24.5,22.63996124267578,0,0.0,0.0
2021-02-26 00:00:00-05:00,23.829999923706055,24.049999237060547,23.829999923706055,24.0,22.177919387817383,1900,0.0,0.0
2021-03-01 00:00:00-05:00,24.5,24.8799991607666,24.5,24.8799991607666,22.991111755371094,1500,0.0,0.0
2021-03-02 00:00:00-05:00,23.860000610351562,25.489999771118164,23.860000610351562,25.489999771118164,23.554798126220703,500,0.0,0.0
2021-03-03 00:00:00-05:00,25.3700008392334,25.3700008392334,25.3700008392334,25.3700008392334,23.443910598754883,500,0.0,0.0
2021-03-04 00:00:00-05:00,24.020000457763672,24.020000457763672,24.020000457763672,24.020000457763672,22.19640350341797,600,0.0,0.0
2021-03-05 00:00:00-05:00,24.940000534057617,24.940000534057617,24.940000534057617,24.940000534057617,23.04655647277832,300,0.0,0.0
2021-03-08 00:00:00-05:00,25.6299991607666,25.6299991607666,24.0,24.5,22.63996124267578,2000,0.0,0.0
2021-03-09 00:00:00-05:00,24.530000686645508,24.530000686645508,24.530000686645508,24.530000686645508,22.667682647705078,400,0.0,0.0
2021-03-10 00:00:00-05:00,24.399999618530273,24.399999618530273,23.90999984741211,23.90999984741211,22.094751358032227,500,0.0,0.0
2021-03-11 00:00:00-05:00,23.899999618530273,24.479999542236328,23.899999618530273,24.479999542236328,22.621479034423828,500,0.0,0.0
2021-03-12 00:00:00-05:00,24.510000228881836,24.510000228881836,23.829999923706055,23.829999923706055,22.02082633972168,400,0.0,0.0
2021-03-15 00:00:00-04:00,23.81999969482422,24.5,23.81999969482422,24.5,22.63996124267578,3500,0.0,0.0
2021-03-16 00:00:00-04:00,24.84000015258789,24.84000015258789,24.84000015258789,24.84000015258789,22.954147338867188,600,0.0,0.0
2021-03-17 00:00:00-04:00,24.530000686645508,24.770000457763672,24.5,24.5,22.63996124267578,900,0.0,0.0
2021-03-18 00:00:00-04:00,23.829999923706055,24.260000228881836,23.829999923706055,24.260000228881836,22.418182373046875,300,0.0,0.0
2021-03-19 00:00:00-04:00,24.399999618530273,24.399999618530273,24.0,24.0,22.177919387817383,700,0.0,0.0
2021-03-22 00:00:00-04:00,24.600000381469727,24.600000381469727,23.829999923706055,23.829999923706055,22.02082633972168,700,0.0,0.0
2021-03-23 00:00:00-04:00,23.829999923706055,24.0,23.829999923706055,23.920000076293945,22.103994369506836,700,0.0,0.0
2021-03-24 00:00:00-04:00,23.920000076293945,23.920000076293945,23.920000076293945,23.920000076293945,22.103994369506836,0,0.0,0.0
2021-03-25 00:00:00-04:00,23.920000076293945,23.920000076293945,23.920000076293945,23.920000076293945,22.103994369506836,0,0.0,0.0
2021-03-26 00:00:00-04:00,23.829999923706055,23.90999984741211,23.75,23.75,21.946901321411133,600,0.0,0.0
2021-03-29 00:00:00-04:00,23.639999389648438,23.639999389648438,23.639999389648438,23.639999389648438,21.845252990722656,600,0.0,0.0
2021-03-30 00:00:00-04:00,23.600000381469727,23.65999984741211,23.600000381469727,23.65999984741211,21.863733291625977,300,0.0,0.0
2021-03-31 00:00:00-04:00,23.600000381469727,23.75,23.600000381469727,23.75,21.946901321411133,300,0.0,0.0
2021-04-01 00:00:00-04:00,23.770000457763672,23.770000457763672,23.770000457763672,23.770000457763672,21.965383529663086,400,0.0,0.0
2021-04-05 00:00:00-04:00,23.770000457763672,23.770000457763672,23.770000457763672,23.770000457763672,21.965383529663086,0,0.0,0.0
2021-04-06 00:00:00-04:00,26.0,26.0,23.75,24.0,22.177919387817383,900,0.0,0.0
2021-04-07 00:00:00-04:00,24.0,24.0,24.0,24.0,22.177919387817383,0,0.0,0.0
2021-04-08 00:00:00-04:00,24.81999969482422,24.84000015258789,24.739999771118164,24.739999771118164,22.861740112304688,1300,0.0,0.0
2021-04-09 00:00:00-04:00,25.239999771118164,25.239999771118164,23.649999618530273,24.510000228881836,22.649200439453125,4700,0.0,0.0
2021-04-12 00:00:00-04:00,24.850000381469727,25.90999984741211,24.690000534057617,25.420000076293945,23.490114212036133,2300,0.0,0.0
2021-04-13 00:00:00-04:00,25.399999618530273,25.399999618530273,25.399999618530273,25.399999618530273,23.471633911132812,500,0.0,0.0
2021-04-14 00:00:00-04:00,24.299999237060547,24.299999237060547,24.299999237060547,24.299999237060547,22.45514488220215,200,0.0,0.0
2021-04-15 00:00:00-04:00,24.299999237060547,24.299999237060547,24.299999237060547,24.299999237060547,22.45514488220215,0,0.0,0.0
2021-04-16 00:00:00-04:00,24.299999237060547,24.299999237060547,24.299999237060547,24.299999237060547,22.45514488220215,0,0.0,0.0
2021-04-19 00:00:00-04:00,25.239999771118164,25.239999771118164,25.239999771118164,25.239999771118164,23.323780059814453,300,0.0,0.0
2021-04-20 00:00:00-04:00,24.950000762939453,25.5,24.709999084472656,24.709999084472656,22.834014892578125,900,0.0,0.0
