symbol,start_date,end_date,total_days
TECHM,2006-08-28,2025-12-26,4770
TECHNOE,2007-04-02,2025-12-26,4624
TEJASNET,2017-06-27,2025-12-26,2103
THELEELA,2025-06-02,2025-12-26,143
THERMAX,2002-07-01,2025-12-26,5836
TIINDIA,2017-11-02,2025-12-26,2015
TIMKEN,2002-08-12,2025-12-26,5806
TITAGARH,2008-04-21,2025-12-26,4362
TITAN,1996-01-01,2025-12-26,7531
TMPV,2025-10-15,2025-12-26,50
TORNTPHARM,2002-07-01,2025-12-26,5836
TORNTPOWER,2006-11-28,2025-12-26,4707
TRENT,2002-07-01,2025-12-26,5833
TRIDENT,2002-07-01,2025-12-26,5833
TRITURBINE,2011-10-28,2025-12-26,3494
TRIVENI,2005-12-13,2025-12-26,4945
TTML,2000-10-26,2025-12-26,6273
TVSMOTOR,2000-08-02,2025-12-26,6334
UBL,2008-07-28,2025-12-26,4294
UCOBANK,2003-10-09,2025-12-26,5501
ULTRACEMCO,2002-08-12,2025-12-26,5803
UNIONBANK,2002-09-24,2025-12-26,5774
UNITDSPR,2024-05-30,2025-12-26,390
UNOMINDA,2007-02-02,2025-12-26,4663
UPL,2002-07-01,2025-12-26,5834
USHAMART,2002-01-01,2025-12-26,5965
UTIAMC,2020-10-13,2025-12-26,1290
VBL,2016-11-08,2025-12-26,2260
VEDL,1996-01-01,2025-12-26,7531
VENTIVE,2024-12-30,2025-12-26,248
VGUARD,2008-03-13,2025-12-26,4385
VIJAYA,2021-09-14,2025-12-26,1062
VMM,2024-12-18,2025-12-26,256
VOLTAS,2002-07-01,2025-12-26,5836
VTL,2002-07-01,2025-12-26,5833
WAAREEENER,2024-10-28,2025-12-26,291
WELCORP,2000-06-23,2025-12-26,6360
WELSPUNLIV,2003-12-04,2025-12-26,5461
WHIRLPOOL,2002-08-12,2025-12-26,5805
WIPRO,1996-01-01,2025-12-26,7531
WOCKPHARMA,2002-07-01,2025-12-26,5835
YESBANK,2005-07-12,2025-12-26,5049
ZEEL,2002-07-01,2025-12-26,5833
ZENSARTECH,2002-07-01,2025-12-26,5833
ZENTEC,2015-03-30,2025-12-26,2655
ZFCVINDIA,2002-08-12,2025-12-26,5803
ZYDUSLIFE,2000-04-27,2025-12-26,6403
